CWE_RULE,Parentof,Childof,Enforced By,QAC MESSAGE,MISRA C:2012 / Coding Standard v6 Rules,CERT C,Comments
,,,QAC,3797,,,
,,,QAC,3798,,,
,,,QAC,3834,,,
,,,QAC,3840,,,
,,,QAC,3844,,,
,,,QAC,3848,,,
,,,QAC,3863,,,
,,,QAC,3864,,,
,,,QAC,3866,,,
,,,QAC,3868,,,
,,,QAC,3870,,,
,,,QAC,3872,,,
,,,QAC,3873,,,
,,,QAC,3874,,,
,,,QAC,3875,,,
CWE-197,,681,QAC,2900,Rule-10.3,"FIO34-C,FLP34-C,INT02-C,INT05-C,INT31-C",Standard-library headers not used
,,,QAC,2901,,,
,,,QAC,2902,,,
,,,QAC,2903,,,
,,,QAC,2905,,,
,,,QAC,2906,,,
,,,QAC,2907,,,
,,,QAC,2908,,,
,,,QAC,2920,,,
,,,QAC,2921,,,
,,,QAC,2922,,,
,,,QAC,4398,Rule-10.8,,
,,,QAC,4399,Rule-10.8,,
,,,QAC,4498,,,
,,,QAC,4499,Rule-10.6,,
CWE-233,"234,236,235",228,QAC,422,Rule-1.1,Not Mapped,Not Mapped
CWE-234,,233,QAC,423,Rule-1.1,Not Mapped,Not Mapped
CWE-242,,1177,CWECCM,,,POS33-C,no POSIX operating system
CWE-243,,"669,573",CWECCM,,,Not Mapped,Not Mapped
CWE-244,,226,CWECCM,,,Not Mapped,Not Mapped
CWE-252,,754,QAC,3200,Dir-4.7|Rule-17.7,"ERR33-C,POS54-C",no POSIX operating system
,,,QAC,3208,,,
,,,QAC,3209,,,
CWE-253,,"754,573",QAC,,,"ERR33-C,POS54-C",no POSIX operating system
CWE-273,,"271,754",CWECCM,,,POS37-C,no POSIX operating system
CWE-324,,672,QAC,,,Not Mapped,Not Mapped
CWE-327,"328,916,1240,780",693,CWECCM,,,"MSC30-C,MSC32-C",Standard-library headers not used; Separate hardware used|Separate hardware used
CWE-336,,335,QAC,,,Not Mapped,Not Mapped
CWE-337,,335,QAC,,,Not Mapped,Not Mapped
CWE-338,,330,CWECCM,,,MSC30-C,Standard-library headers not used; Separate hardware used
CWE-362,"368,421,366,1298,689,1223,364,367",691,QAC,4951,,Not Mapped,Not Mapped
,,,QAC,4952,,,
,,,QAC,4976,,,
,,,QAC,4977,,,
CWE-365,,119,QAC,,,Not Mapped,Not Mapped
CWE-369,,682,QAC,2830,Rule-1.3,"FLP03-C,INT33-C",
,,,QAC,2831,Dir-4.1,,
,,,QAC,2832,Dir-4.1,,
,,,QAC,2833,,,
,,,QAC,2834,,,
CWE-374,,668,CWECCM,,,Not Mapped,Not Mapped
CWE-375,,668,CWECCM,,,Not Mapped,Not Mapped
CWE-391,,"754,703",QAC,3200,Dir-4.7|Rule-17.7,"ERR00-C,ERR33-C,ERR34-C,FLP32-C,POS54-C",Standard-library headers not used|no POSIX operating system
,,,QAC,3208,,,
,,,QAC,3209,,,
CWE-398,,"77,74",CWECCM,,,Not Mapped,Not Mapped
CWE-398,,"77,74",QAC,303,Rule-11.4,Not Mapped,Not Mapped
,,,QAC,305,Rule-11.1,,
,,,QAC,306,Rule-11.4,,
,,,QAC,308,Rule-11.2,,
,,,QAC,310,Rule-11.3,,
,,,QAC,313,Rule-11.1,,
,,,QAC,314,Dir-1.1,,
,,,QAC,315,Dir-1.1,,
,,,QAC,316,Rule-11.5,,
,,,QAC,317,Rule-11.5,,
,,,QAC,318,,,
,,,QAC,324,Rule-11.2,,
,,,QAC,325,Rule-11.2,,
,,,QAC,326,Rule-11.6,,
,,,QAC,336,Rule-7.1,,
,,,QAC,339,Rule-7.1,,
,,,QAC,428,,,
,,,QAC,488,Rule-18.4,,
,,,QAC,489,,,
,,,QAC,490,,,
,,,QAC,491,,,
,,,QAC,492,,,
,,,QAC,553,,,
,,,QAC,597,,,
,,,QAC,606,Rule-8.3,,
,,,QAC,624,Rule-8.3,,
,,,QAC,652,,,
,,,QAC,722,,,
,,,QAC,723,,,
,,,QAC,724,Rule-8.12,,
,,,QAC,751,,,
,,,QAC,752,Rule-7.4,,
,,,QAC,753,Rule-7.4,,
,,,QAC,769,,,
,,,QAC,770,,,
,,,QAC,771,Rule-15.4,,
,,,QAC,780,,,
,,,QAC,781,,,
,,,QAC,782,,,
,,,QAC,783,,,
,,,QAC,790,,,
,,,QAC,832,,,
,,,QAC,838,,,
,,,QAC,839,,,
,,,QAC,841,Rule-20.5,,
,,,QAC,842,,,
,,,QAC,843,,,
,,,QAC,861,,,
,,,QAC,862,,,
,,,QAC,868,,,
,,,QAC,878,,,
,,,QAC,880,,,
,,,QAC,881,,,
,,,QAC,882,,,
,,,QAC,883,Dir-4.10|Rule-1.2,,
,,,QAC,884,,,
,,,QAC,889,,,
,,,QAC,890,,,
,,,QAC,891,,,
,,,QAC,1100,,,
,,,QAC,1254,,,
,,,QAC,1255,,,
,,,QAC,1271,,,
,,,QAC,1272,,,
,,,QAC,1277,,,
,,,QAC,1278,,,
,,,QAC,1279,,,
,,,QAC,1280,Rule-7.3,,
,,,QAC,1281,Rule-7.2,,
,,,QAC,1304,,,
,,,QAC,1310,,,
,,,QAC,1317,,,
,,,QAC,1323,,,
,,,QAC,1325,,,
,,,QAC,1330,Rule-8.3,,
,,,QAC,1334,,,
,,,QAC,1335,Rule-8.2,,
,,,QAC,1336,Rule-8.2,,
,,,QAC,1337,Rule-17.1,,
,,,QAC,1461,,,
,,,QAC,1475,,,
,,,QAC,1476,,,
,,,QAC,1477,,,
,,,QAC,1478,,,
,,,QAC,1690,,,
,,,QAC,1691,,,
,,,QAC,2000,,,
,,,QAC,2001,Rule-15.1,,
,,,QAC,2002,Rule-16.4,,
,,,QAC,2003,Rule-16.3,,
,,,QAC,2004,Rule-15.7,,
,,,QAC,2007,,,
,,,QAC,2009,,,
,,,QAC,2011,,,
,,,QAC,2014,,,
,,,QAC,2015,,,
,,,QAC,2016,Rule-16.4,,
,,,QAC,2017,,,
,,,QAC,2020,Rule-16.3,,
,,,QAC,2022,,,
,,,QAC,2050,Rule-8.1,,
,,,QAC,2051,Rule-8.1,,
,,,QAC,2200,Dir-5.2,,
,,,QAC,2201,,,
,,,QAC,2203,Dir-5.2,,
,,,QAC,2204,Dir-5.2,,
,,,QAC,2205,Dir-5.3,,
,,,QAC,2207,,,
,,,QAC,2208,,,
,,,QAC,2209,Dir-5.2,,
,,,QAC,2210,Rule-4.3,,
,,,QAC,2211,,,
,,,QAC,2212,Rule-15.6,,
,,,QAC,2213,,,
,,,QAC,2214,Rule-15.6,,
,,,QAC,2215,,,
,,,QAC,2216,,,
,,,QAC,2217,,,
,,,QAC,2218,Rule-15.6,,
,,,QAC,2219,Rule-15.6,,
,,,QAC,2461,Rule-14.2,,
,,,QAC,2462,Rule-14.2,,
,,,QAC,2463,Rule-14.2,,
,,,QAC,2464,Rule-14.2,,
,,,QAC,2467,Rule-14.2,,
,,,QAC,2468,Rule-14.2,,
,,,QAC,2469,Rule-14.2,,
,,,QAC,2470,,,
,,,QAC,2471,Rule-14.2,,
,,,QAC,2472,Rule-14.2,,
,,,QAC,2476,Rule-14.2,,
,,,QAC,2477,Rule-14.2,,
,,,QAC,2481,,,
,,,QAC,2487,,,
,,,QAC,2488,,,
,,,QAC,2980,Rule-2.2,,
,,,QAC,2981,Rule-2.2,,
,,,QAC,2982,Rule-2.2,,
